Gene Synonym,Gene name
RALDH3,ALDH1A3
ALDH5,ALDH1B1
ALDHX,ALDH1B1
10-FTHF,ALDH1L1
FDH,ALDH1L1
FTHFD,ALDH1L1
FLJ38508,ALDH1L2
MTFDH,ALDH1L2
ALDH3,ALDH3A1
ALDH10,ALDH3A2
FALDH,ALDH3A2
SLS,ALDH3A2
ALDH4,ALDH4A1
P5CDH,ALDH4A1
SSADH,ALDH5A1
SSDH,ALDH5A1
ATQ1,ALDH7A1
EPD,ALDH7A1
PDE,ALDH7A1
ATQL2,ALDH7A1P2
ATQL4,ALDH7A1P4
ALDH12,ALDH8A1
MGC10204,ALDH16A1
GSAS,ALDH18A1
P5CS,ALDH18A1
PYCS,ALDH18A1
SPG9,ALDH18A1
CDGS4,ALG3
D16ERTD36E,ALG3
NOT56,ALG3
NOT56L,ALG3
BA421P11.2,ALG5
DIBD1,ALG9
ALG10A,ALG10
DIE2,ALG10
FLJ14751,ALG10
KCR1,ALG10B
CDG1P,ALG11
KIAA0266,ALG11
CDG1G,ALG12
ECM39,ALG12
MGC19780,ALG14
ALK1,ALK
CD246,ALK
AUGB,ALKAL1
FAM150A,ALKAL1
UNQ9433,ALKAL1
ABH,ALKBH1
ALKB,ALKBH1
ALKBH,ALKBH1
HABH,ALKBH1
ABH2,ALKBH2
MGC90512,ALKBH2
FLJ20013,ALKBH4
FLJ20308,ALKBH5
OFOXD1,ALKBH5
ALMS1L,ALMS1P1
ALMS1P,ALMS1P1
5-LOX,ALOX5
FLAP,ALOX5AP
12R-LOX,ALOX12B
ALOX12P,ALOX12P1
15-LOX-2,ALOX15B
E-LOX,ALOXE3
ELOX3,ALOXE3
HAK,ALPK2
KIAA1330,ALPK3
MAK,ALPK3
MIDORI,ALPK3
DKFZP686I0110,ALS2CL
FLJ36525,ALS2CL
RN49018,ALS2CL
CART1,ALX1
EDC1,AMBP
HCP,AMBP
HI30,AMBP
IATIL,AMBP
ITI,AMBP
ITIL,AMBP
ITILC,AMBP
UTI,AMBP
SAMDC,AMD1
AMD,AMD1P2
AMD2,AMD1P2
AMDP1,AMD1P2
AMDPX,AMD1P2
AMDPY,AMD1P2
MGC35366,AMDHD1
CGI-14,AMDHD2
AIH1,AMELX
AMG,AMELX
AMGL,AMELY
FAM123B,AMER1
FLJ39827,AMER1
RP11-403E24.2,AMER1
WTX,AMER1
FAM123A,AMER2
FLJ25477,AMER2
GP78,AMFR
RNF45,AMFR
KIAA1071,AMOT
JEAP,AMOTL1
RSTI689,AMTN
UNQ689,AMTN
APC1,ANAPC1
MCPR,ANAPC1
TSG24,ANAPC1
APC2,ANAPC2
KIAA1406,ANAPC2
APC4,ANAPC4
APC5,ANAPC5
APC16,ANAPC16
BA570G20.3,ANAPC16
C10ORF104,ANAPC16
CENP-27,ANAPC16
FLJ33728,ANAPC16
RAA1,ANG
RNASE5,ANG
CCR4E,ANGEL1
KIAA0759,ANGEL1
ANG2,ANGPT2
ANGPT5,ANGPTL3
ARP4,ANGPTL4
FIAF,ANGPTL4
HFARP,ANGPTL4
NL2,ANGPTL4
PGAR,ANGPTL4
PP1158,ANGPTL4
ANKRD5,ANKEF1
DJ839B4.6,ANKEF1
FLJ21669,ANKEF1
ANKHZN,ANKFY1
BTBD23,ANKFY1
KIAA1255,ANKFY1
RANK-5,ANKFY1
ZFYVE14,ANKFY1
ANK,ANKH
CCAL2,ANKH
CMDJ,ANKH
CPPDD,ANKH
HANK,ANKH
SLC62A1,ANKH
FLJ10042,ANKHD1
FLJ11979,ANKHD1
FLJ14127,ANKHD1
FLJ20288,ANKHD1
KIAA1085,ANKHD1
MASK,ANKHD1
MASK1,ANKHD1
MASK-BP3,ANKHD1-EIF4EBP3
DKFZP434A0225,ANKIB1
KIAA1386,ANKIB1
DKFZP564O043,ANKMY2
ZMYND20,ANKMY2
ALRP,ANKRD1
C-193,ANKRD1
CARP,ANKRD1
CVARP,ANKRD1
MCARP,ANKRD1
TSA806,ANKRD7
FLJ20093,ANKRD10
ANCO-2,ANKRD12
FLJ20053,ANKRD12
GAC-1,ANKRD12
KIAA0874,ANKRD12
ANKRD20A5,ANKRD20A5P
MGC26718,ANKRD20A5P
ANKRD20A4P1,ANKRD20A10P
C21ORF81,ANKRD20A11P
C21ORF126,ANKRD20A18P
MGC22805,ANKRD22
KIAA1074,ANKRD26
THC2,ANKRD26
